dropped,latency,steps,timestamp
0.0,136.0,1000.0,1551182872.6286132
0.0,136.0,1000.0,1551182872.629614
0.0,133.0,1000.0,1551182872.6306188
0.0,132.0,1000.0,1551182872.632024
0.0,126.0,1000.0,1551182872.6332679
0.0,118.0,1000.0,1551182872.634336
0.0,116.0,1000.0,1551182872.635357
0.0,104.0,1000.0,1551182872.6367328
0.0,103.0,1000.0,1551182872.638061
0.0,101.0,1000.0,1551182872.639455
0.0,101.0,1000.0,1551182872.6408918
0.0,100.0,1000.0,1551182872.641942
0.0,88.0,1000.0,1551182872.642953
0.0,80.0,1000.0,1551182872.643958
0.0,72.0,1000.0,1551182872.644966
0.0,65.0,1000.0,1551182872.645977
0.0,64.0,1000.0,1551182872.64699
0.0,54.0,1000.0,1551182872.648
0.0,48.0,1000.0,1551182872.64901
0.0,40.0,1000.0,1551182872.650014
0.0,40.0,1000.0,1551182872.6510808
0.0,34.0,1000.0,1551182872.652544
0.0,34.0,1000.0,1551182872.65404
0.0,32.0,1000.0,1551182872.655314
0.0,21.0,1000.0,1551182872.656597
0.0,20.0,1000.0,1551182872.657689
0.0,16.0,1000.0,1551182872.658731
0.0,16.0,1000.0,1551182872.6597178
0.0,16.0,1000.0,1551182872.660712
0.0,10.0,1000.0,1551182872.661702
0.0,10.0,1000.0,1551182872.662886
0.0,10.0,1000.0,1551182872.664261
